Rank,Player,Player.1,Best achievements,Points,#,Games,100%,All,Badges,XP,Member since,Hours,Last update
54,Princesa Zanahoria,Princesa Zanahoria,Ready to Roll  Mole Power  Dark Magic Bars Our Way  The Knight of Tempra  Cowabunga  The Golden Child  The Traveler on a Journey  Completionist,32614.04,28033,2472,864,3524,246,67062,04/09/2016,0.0,12/31/2021 07:48:17
55,Morgaln,Morgaln,Heroes Undaunted  Villains Thwarted  Challenge Completed  Classic Champion  Challenge Outmatched  Team-ups Terminated  Cold War  If I can't have them no one can,32588.0,49315,2098,383,2665,492,87289,02/04/2011,28853.7,12/08/2021 07:30:31
56,BigWitt187,BigWitt187,Born Diplomat  Blacksmith of Legends  Prince of Frost and Ice  Duke of Shadows and Gloom  A Drownie devotee  Eternal Hero  Knight of Thunder and Lightning  Conqueror,32270.77,43507,12315,1602,20905,313,177686,08/25/2010,21011.1,01/10/2022 22:20:56
57,Viper,Viper,Tracked Gold  Sitting Duck Gold  Riding Shotgun Platinum  Transport Hunter Gold  Camper Van  S&D Cool Under Pressure Gold  S&D Bomberman Gold  Sitting Duck Silver,31960.67,32986,4652,1084,6053,89,25394,09/12/2003,31264.4,10/21/2021 04:15:07
58,AngelKiller,AngelKiller,Guardian  Builder  Helpful  Adored  Finish the Secret Quest!  Finder  Dark Lord of the Hill  Savior,31939.61,29913,2016,1023,2045,32,7848,09/15/2012,51876.8,02/28/2021 09:31:18
59,Sqweeb,Sqweeb,Final Destination  Foster Fuji Snowfoux (Score 220)  A Spad Time  Between Light and Shadow  The Thieves of Srambad  The Idol Identity  Mission Impossible II  Are you Burdened?,31560.13,30009,2829,960,3007,315,79856,11/10/2010,31844.5,12/31/2021 10:27:47
60,BBANG SEUNG,BBANG SEUNG,Hospital of Pain  A Preacher's Demise  Shout n Spray!  Inner Frenzy  Anger Issues  Taking Sides  Quick Draw  Master of the Guild,31348.25,28740,4119,1172,4463,104,54251,04/21/2016,35608.4,04/07/2022 16:07:15
61,TastyGuava,TastyGuava,Legendary Fungiculture  Superior Fungiculture  High Fungiculture  Beginner Fungiculture  Seen it all  Titanium Man  Axis Deer  Rebellious Student,31197.39,31325,1293,936,1279,41,89137,12/20/2014,99107.3,03/07/2022 23:24:59
62,Deiru,Deiru,Tragical Card 62  Ready for real action  Dingbat's Doom  Tragical Card 35  Tragical Card 46  Tragical Card 28  Tragical Card 48  Tragical Card 218,31064.42,37737,11904,971,17789,319,69819,05/14/2010,24508.6,03/12/2021 18:15:12
63,Sophie,Sophie,Twenty for a Tiff  More Like Paths of Awesome  Five for Fighting  Ten for a Tussle  Fifteen for Feuding  Beholder Event  Hyper Focused  Even the Odds,30878.41,25435,2931,692,6612,62,18057,05/03/2016,29838.0,01/16/2022 08:12:25
64,Qiomoqq,Qiomoqq,Killer  45 Seconds Baby! Get in Line!  Campaign...er...zator  10 Packs Complete  Level 4  100 Puzzles Complete!  The Death Caller  The Cannibal Minister,30809.6,35711,4285,1426,5247,434,220832,03/16/2010,10247.6,02/04/2021 05:58:49
65,Dendy,Dendy,Dogfight Ace  Multiplayer Ace  Good Show  Cracking Good Show  Multiplayer Veteran  You are Extra Lunatic!  Fellow of the Order of Arcane Engineers  Invincible,30675.77,36144,2472,968,2803,568,284521,03/24/2018,0.0,03/10/2022 04:00:49
66,7_of_9,7_of_9,Dizzy O.o!  Conquering that Score  Record of Improvement  Zen Beast  Pure Zen  Destroyer  Life after 30.  Legendary catch: Golden Nase,30574.84,44281,1145,228,1038,67,22082,09/26/2010,24914.9,02/15/2021 09:20:07
67,[ ]暗魂Xame,[ ]暗魂Xame,Demi-god  Legendary  22 in 22:22  X-TREME Astro Admiral  Tough Astro Admiral  An Unexpected Journey  Fearless Dodger  100% Spell Progress,30416.02,28990,2441,972,3055,659,185056,06/07/2013,21779.4,03/07/2022 12:30:23
68,stuw23,stuw23,A Lesson in Classes  Icequake  Always Watching  And Your Enemies Closer  The Fall of Ythryn  Tough Acting  A Chilling Encounter  A Dragon Against Us,30364.02,44423,863,294,875,42,9119,09/17/2009,32552.4,12/08/2021 05:10:25
